cmi_c13_mean,cmi_c13_std,cmi_c13_min,cmi_c13_max,cmi_c15_mean,cmi_c15_std,cmi_c15_min,cmi_c15_max,cmi_c16_mean,cmi_c16_std,cmi_c16_min,cmi_c16_max,btd_13_15,btd_13_16,btd_15_16,timestamp,timestamp_local,time_10min
279.8278503417969,2.3929076194763184,274.9017639160156,283.75103759765625,278.44488525390625,1.9704492092132568,274.3947448730469,281.60162353515625,264.7086181640625,1.0264692306518555,262.6816101074219,266.3169860839844,1.382965087890625,15.119232177734375,13.73626708984375,2026-05-10 01:45:07.820574976,2026-05-09 20:45:07.820574976-05:00,2026-05-09 20:40:00-05:00
279.8745422363281,2.3785510063171387,274.7174072265625,283.8125,278.3638916015625,2.1230342388153076,274.0373840332031,281.83984375,264.5455627441406,1.2557345628738403,262.18585205078125,266.48223876953125,1.510650634765625,15.3289794921875,13.818328857421875,2026-05-10 01:55:08.128487936,2026-05-09 20:55:08.128487936-05:00,2026-05-09 20:50:00-05:00
279.94091796875,2.348193645477295,274.594482421875,283.6895751953125,278.4734802246094,2.224552631378174,272.72705078125,281.54205322265625,264.6116943359375,1.2568681240081787,261.2494812011719,266.3169860839844,1.467437744140625,15.3292236328125,13.861785888671875,2026-05-10 02:05:08.423251072,2026-05-09 21:05:08.423251072-05:00,2026-05-09 21:00:00-05:00
279.761474609375,2.1053247451782227,275.024658203125,283.1979675292969,278.4043884277344,1.65726900100708,274.7521057128906,280.82733154296875,264.47064208984375,0.91469806432724,262.5714416503906,265.82122802734375,1.357086181640625,15.29083251953125,13.933746337890625,2026-05-10 02:15:08.406948992,2026-05-09 21:15:08.406948992-05:00,2026-05-09 21:10:00-05:00
279.547607421875,2.2875823974609375,274.5330505371094,283.1979675292969,278.31622314453125,1.852692723274231,274.216064453125,281.2442626953125,264.48828125,1.013496994972229,262.18585205078125,265.82122802734375,1.23138427734375,15.059326171875,13.82794189453125,2026-05-10 02:25:08.411020032,2026-05-09 21:25:08.411020032-05:00,2026-05-09 21:20:00-05:00
279.2796936035156,2.318751096725464,274.34869384765625,283.0750427246094,278.0565490722656,1.9287489652633667,273.85870361328125,281.0655822753906,264.301025390625,1.1014084815979004,262.0206298828125,266.0966796875,1.22314453125,14.978668212890625,13.755523681640625,2026-05-10 02:35:08.130521984,2026-05-09 21:35:08.130521984-05:00,2026-05-09 21:30:00-05:00
277.3402404785156,5.573561191558838,255.85122680664062,282.89068603515625,275.6907958984375,6.335757255554199,249.677001953125,280.8868713378906,262.0955505371094,5.612955093383789,237.83982849121094,265.7110900878906,1.649444580078125,15.24468994140625,13.595245361328125,2026-05-10 02:45:07.826684928,2026-05-09 21:45:07.826684928-05:00,2026-05-09 21:40:00-05:00
273.7341613769531,9.098861694335938,248.84555053710938,282.52197265625,270.74249267578125,10.933833122253418,240.02816772460938,280.469970703125,257.64715576171875,9.479157447814941,231.0097198486328,265.4356689453125,2.991668701171875,16.087005615234375,13.0953369140625,2026-05-10 02:55:08.415369088,2026-05-09 21:55:08.415369088-05:00,2026-05-09 21:50:00-05:00
271.217041015625,8.635721206665039,253.70037841796875,281.4158020019531,267.08544921875,10.552249908447266,246.87765502929688,279.6361083984375,254.6132354736328,8.930593490600586,238.17031860351562,265.1602783203125,4.131591796875,16.603805541992188,12.472213745117188,2026-05-10 03:05:08.473382912,2026-05-09 22:05:08.473382912-05:00,2026-05-09 22:00:00-05:00
271.35467529296875,5.952477931976318,261.8736572265625,279.6336669921875,266.2778015136719,7.482972145080566,255.33529663085938,277.1941223144531,254.03599548339844,6.296135425567627,243.67848205566406,263.7281494140625,5.076873779296875,17.318679809570312,12.241806030273438,2026-05-10 03:15:08.409832960,2026-05-09 22:15:08.409832960-05:00,2026-05-09 22:10:00-05:00
